episode,reward_mean,delay_mean
1,-2.971816301345825,0.08306870951981682
2,-3.155484676361084,0.01612026059421671
3,-3.2266972064971924,0.036270459557582055
4,-4.916380882263184,0.09931081578716823
5,-3.1290791034698486,0.0785160393203157
6,-6.4930620193481445,0.01441797448108516
7,-2.0009894371032715,0.01695157181674163
8,-2.7461185455322266,0.014163980139641638
9,-3.7189831733703613,0.01750719040947068
10,-2.1712677478790283,0.016502140362322042
11,-1.8258018493652344,0.015339434663066361
12,-2.5848135948181152,0.013817403751471507
13,-2.4878830909729004,0.013684525925332133
14,-1.8019285202026367,0.012619237445285576
15,-2.3747334480285645,0.017694189406986117
16,-2.726095676422119,0.015492423299480433
17,-2.5452721118927,0.01328778114546083
18,-1.721731185913086,0.01742982565279819
19,-1.7232574224472046,0.015027380608517077
20,-1.7343482971191406,0.014511372596803877
21,-1.7438442707061768,0.013926740709798317
22,-2.0223755836486816,0.014402720853006406
23,-1.6818338632583618,0.016965726138105947
24,-1.734606146812439,0.013088242009279267
25,-1.6531202793121338,0.012828341966817584
26,-1.711456537246704,0.015014694535780693
27,-1.6623566150665283,0.014003143880717285
28,-1.6500320434570312,0.015209911778743491
29,-1.6869585514068604,0.01682095588496303
30,-1.7480685710906982,0.017842420830094533
31,-2.5384700298309326,0.013844235450274295
32,-1.7288436889648438,0.014108732483226243
33,-1.7594661712646484,0.013016567936214926
34,-2.6758482456207275,0.01378193765363165
35,-1.654868721961975,0.01234784864698114
36,-1.6957849264144897,0.016525983674327914
37,-2.688119411468506,0.01269770612511123
38,-1.716356873512268,0.01284178278343624
39,-1.6322702169418335,0.013143893964770484
40,-2.630483627319336,0.014176471254382093
41,-2.7169740200042725,0.013381030136012332
42,-1.7684268951416016,0.014855080539165585
43,-1.6124248504638672,0.012482944314098379
44,-1.585606336593628,0.012277710855439635
45,-1.5744937658309937,0.01267133274431248
46,-1.6190900802612305,0.012834982260581846
47,-1.556504249572754,0.012360305388578319
48,-1.5702388286590576,0.012455606468146021
49,-1.6251938343048096,0.014033398026949868
50,-1.6168138980865479,0.012642343096789237
51,-1.6170415878295898,0.013459898665890448
52,-1.601592779159546,0.01224535239855914
53,-1.5657941102981567,0.01260823273672428
54,-1.5357935428619385,0.012509669763038569
55,-1.5728261470794678,0.012470725666269476
56,-1.5836679935455322,0.013307321027034469
57,-1.558403730392456,0.01443099486740348
58,-1.5743772983551025,0.012671894281536472
59,-1.5797573328018188,0.012626358994501147
60,-1.6291754245758057,0.01299820852399682
61,-1.9064470529556274,0.030480122023477513
62,-2.1840507984161377,0.012392059406536284
63,-1.5878995656967163,0.012437334758776467
64,-1.5447542667388916,0.012548372674821976
65,-1.5177135467529297,0.012421131595797342
66,-1.5206899642944336,0.012447480724229104
67,-1.9712255001068115,0.012502437041670823
68,-1.5205376148223877,0.012714670136612573
69,-1.6180880069732666,0.016294518469302206
70,-1.5977026224136353,0.012448863537643906
